Student_ID,Study_Hours,Attendance,Sleep_Hours,Previous_Marks,Assignment_Score,Marks
1,1,60,5,40,45,42
2,2,65,6,45,48,47
3,1.5,58,5,38,42,40
4,3,70,6,50,55,54
5,2.5,68,7,48,52,51
6,4,75,7,58,60,61
7,3.5,72,6,55,58,57
8,5,80,7,65,68,69
9,4.5,78,6,62,66,65
10,6,85,7,72,74,75
11,5.5,83,8,70,72,73
12,7,88,7,78,80,81
13,6.5,86,8,75,78,79
14,8,90,7,82,85,86
15,7.5,89,8,80,83,84
16,2,62,5,43,47,45
17,3,67,6,49,53,52
18,4,74,7,57,60,59
19,5,79,7,64,67,68
20,6,84,8,71,73,74
21,2.5,64,6,46,49,48
22,3.5,71,6,53,57,56
23,4.5,77,7,61,64,64
24,5.5,82,7,68,70,71
25,6.5,87,8,76,79,80
26,1,55,5,35,40,38
27,2,60,6,42,45,44
28,3,69,6,51,54,53
29,4,76,7,59,62,61
30,5,81,7,66,69,70
