Student_ID,Sleep_Hours,Study_Hours,Attendance,Exam_Score,Result
1,8.0,2.5,85,68,Pass
2,7.5,3.0,88,72,Pass
3,6.0,5.0,92,84,Pass
4,5.5,6.0,95,89,Pass
5,8.5,2.0,80,65,Pass
6,7.0,4.5,90,81,Pass
7,6.5,5.5,93,86,Pass
8,8.0,3.5,87,75,Pass
9,5.0,7.0,96,92,Pass
10,7.5,4.0,89,78,Pass
11,6.0,6.5,94,88,Pass
12,8.5,2.5,82,67,Pass
13,7.0,5.0,91,83,Pass
14,6.5,4.0,86,76,Pass
15,5.5,7.5,98,95,Pass
16,8.0,3.0,84,70,Pass
17,7.5,5.5,92,87,Pass
18,6.0,6.0,95,90,Pass
19,7.0,4.5,88,79,Pass
20,5.0,8.0,99,97,Pass
21,4.5,1.5,55,35,Fail
22,5.0,2.0,60,40,Fail
23,4.0,1.0,50,30,Fail
24,5.5,2.5,58,42,Fail
25,4.5,3.0,62,45,Fail
26,6.0,1.5,57,38,Fail
27,5.0,2.0,65,48,Fail
28,4.0,1.0,52,32,Fail
29,5.5,2.5,60,44,Fail
30,4.5,1.5,55,36,Fail
